TOP.5ad9a820.000e1a7e	START
TOP.5ca3a28a.000a4c2c	user_options->rp_files_cnt	1
TOP.5ca3a28a.000a4c2c	user_options->rp_gen	0
TOP.5ca3a28a.000a4c2c	user_options->rp_gen_func_max	4
TOP.5ca3a28a.000a4c2c	user_options->rp_gen_func_min	1
TOP.5ca3a28a.000a4c2c	user_options->rp_gen_seed	0
TOP.5ca3a28a.000a4c2c	user_options->runtime	0
TOP.5ca3a28a.000a4c2c	user_options->scrypt_tmto	0
TOP.5ca3a28a.000a4c2c	user_options->segment_size	33554432
TOP.5ca3a28a.000a4c2c	user_options->self_test_disable	0
TOP.5ca3a28a.000a4c2c	user_options->show	0
TOP.5ca3a28a.000a4c2c	user_options->speed_only	0
TOP.5ca3a28a.000a4c2c	user_options->status	0
TOP.5ca3a28a.000a4c2c	user_options->status_timer	10
TOP.5ca3a28a.000a4c2c	user_options->stdout_flag	0
TOP.5ca3a28a.000a4c2c	user_options->usage	0
TOP.5ca3a28a.000a4c2c	user_options->username	0
TOP.5ca3a28a.000a4c2c	user_options->veracrypt_pim	0
TOP.5ca3a28a.000a4c2c	user_options->version	0
TOP.5ca3a28a.000a4c2c	user_options->workload_profile	2
TOP.5ca3a28a.000a4c2c	hashes->hashfile	sam.txt
TOP.5ca3a28a.000a4c2c	hashes->hashlist_mode	4
TOP.5ca3a28a.000a4c2c	hashes->hashlist_format	1
TOP.5ca3a28a.000a4c2c	hashes->hashes_cnt	0
TOP.5ca3a28a.000a4c2c	hashes->digests_cnt	14
TOP.5ca3a28a.000a4c2c	hashes->digests_done	0
TOP.5ca3a28a.000a4c2c	hashes->salts_cnt	1
